CME_num,LASCO_Start,Start_Date,Arrival_Date,PE_duration,Arrival_v,Transit_time,Transit_time_err,LASCO_Date,LASCO_v,LASCO_pa,LASCO_da,LASCO_halo,v_r,v_r_err,Theta_source,Phi_source,source_err,POS_source_angle,rel_wid,Mass,Bz,DST,v_r_stat,Accel.,Analyitic_w,Analyitic_gamma,filename
index,datetime,datetime,datetime,hours,km/s,hours,hours,datetime,km/s,deg,deg,,km/s,km/s,arcsec,arcsec,arcsec,deg,rad,g,nT,,km/s,m/s^2,km/s,km^-1,
1,1997-01-06 16:23:38.000,1997-01-07 08:35:05.600,1997-01-10 04:00:00,22.0,450,67.41499999999999,4.8468,1997-01-06 15:10:42,136.0,-9999.0,360.0,FH,190.53,60.452,25.21014298570143,-3.2217961203879613,43.5007998158663,64.59817956074806,0.5585053606381855,580000000000000.0,14,-78.0,181.172,0,0,0,CME_01_param_inv.csv
2,1997-02-07 01:30:05.000,1997-02-07 07:35:12.440,1997-02-10 02:00:00,17.0,450,66.41305555555556,0.5358,1997-02-07 00:30:05,490.0,-9999.0,360.0,FH,705.35,104.89,46.03742908569715,-11.99570447651745,20.0,42.767846882746575,0.7853981633974483,4100000000000000.0,8,-68.0,544.73,17.923,0,0,CME_02_param_inv.csv
3,1997-04-07 14:27:44.000,1997-04-07 17:26:59.000,1997-04-11 06:00:00,13.0,460,84.55027777777778,0.31099,1997-04-07 14:27:44,878.0,-9999.0,360.0,FH,1133.7,245.12,-23.080610969451527,-28.472798860056997,20.0,53.96714527190093,1.1519173063162575,1e+16,20,-82.0,943.2059999999999,8.9076,0,0,CME_03_param_inv.csv
4,1997-05-12 06:30:09.000,1997-05-12 09:00:08.640,1997-05-15 09:00:00,15.0,450,71.9975,0.67418,1997-05-12 05:30:05,464.0,-9999.0,360.0,FH,774.63,202.88,7.137241575842416,21.786561343865614,20.0,67.12833866887516,0.7853981633974483,4200000000000000.0,21,-115.0,518.028,0,395.56,6.0698e-08,CME_04_param_inv.csv
5,1997-05-21 22:00:05.000,1997-05-22 07:41:17.480,1997-05-26 16:00:00,18.0,340,104.31166666666667,0.35945,1997-05-21 21:00:53,296.0,263.0,165.0,PH,354.13,46.671,-63.993600639936005,-35.99640035996401,20.0,20.777946179371117,0.5585053606381855,2200000000000000.0,10,-74.0,345.49199999999996,2.5211,0,0,CME_05_param_inv.csv
6,1997-07-30 04:45:47.000,1997-07-31 00:19:26.600,1997-08-03 13:00:00,14.0,400,84.67583333333333,3.0542,1997-07-30 04:45:47,104.0,-9999.0,360.0,FH,157.85,26.257,-0.9836613169341545,24.341924903754812,20.0,65.63941772463357,0.5585053606381855,820000000000000.0,16,-48.0,148.308,0,0,0,CME_06_param_inv.csv
7,1997-08-30 01:30:35.000,1997-08-30 06:56:41.000,1997-09-03 13:00:00,8.0,410,102.05527777777777,1.1642,1997-08-30 01:30:35,371.0,-9999.0,360.0,FH,557.61,126.31,3.9037042765241163,19.325314156194793,20.0,70.29913238371363,0.7853981633974483,1700000000000000.0,14,-98.0,422.517,0,0,0,CME_07_param_inv.csv
8,1997-09-17 21:28:13.000,1997-09-18 01:21:42.760,1997-09-21 21:00:00,19.0,440,91.63805555555555,0.57885,1997-09-17 20:28:48,377.0,-9999.0,360.0,FH,545.09,72.859,-5.409235676432357,28.270681931806823,20.0,61.25846284238434,0.7853981633974483,2600000000000000.0,16,-36.0,428.679,0,0,0,CME_08_param_inv.csv
9,1997-09-28 01:08:33.000,1997-09-28 06:02:03.120,1997-10-01 16:00:00,31.0,450,81.96555555555555,0.63679,1997-09-28 01:08:33,359.0,-9999.0,360.0,FH,603.39,81.782,12.157430085663812,-21.45347255091497,20.0,65.48344329801473,0.7853981633974483,4000000000000000.0,10,-98.0,410.193,0,448.39,2.0866e-06,CME_09_param_inv.csv
